                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3639,                  3.943,                0.97284,                0.00871,                0.09677,                0.02111,                 0.0188,                0.73819,                 3.7907,                0.95122,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                  1.246,                 3.8124,                0.94834,                0.00926,                0.10484,                0.03901,                0.03531,                0.79164,                 3.7823,                0.93894,             7.9224e-05,             7.9224e-05,             7.9224e-05
                      3,                 1.0492,                 3.5865,                0.86421,                  0.032,                0.35386,                0.04922,                0.03793,                0.88703,                 3.7214,                0.91564,             0.00012016,             0.00012016,             0.00012016
                      4,                 1.1738,                 3.2213,                0.85853,                0.04866,                0.49902,                0.06547,                0.05082,                 0.8397,                 3.5553,                0.91158,             0.00015614,             0.00015614,             0.00015614
                      5,                0.98402,                 2.9528,                0.81913,                0.05352,                0.52273,                0.29048,                0.22015,                0.76419,                 3.4258,                  0.871,             0.00018717,             0.00018717,             0.00018717
                      6,                  1.144,                 2.1004,                0.84613,                0.05161,                0.49047,                0.39928,                0.29594,                0.76269,                 3.3406,                0.86323,             0.00021325,             0.00021325,             0.00021325
                      7,                 1.1618,                 1.8938,                0.84594,                0.05915,                 0.5066,                0.43674,                0.32798,                0.82653,                 3.2604,                0.88577,             0.00023438,             0.00023438,             0.00023438
                      8,                 1.1204,                 1.7138,                0.83595,                0.06127,                0.52273,                 0.4564,                0.34166,                0.84166,                 3.2114,                0.89146,             0.00025056,             0.00025056,             0.00025056
                      9,                 1.0922,                 1.5473,                0.84376,                0.05948,                0.52273,                0.46885,                 0.3664,                0.84499,                 3.1425,                0.88347,             0.00026179,             0.00026179,             0.00026179
                     10,                 1.1285,                 1.4051,                0.83638,                0.05989,                0.52273,                0.46459,                0.39351,                0.79745,                 3.0931,                0.87274,             0.00026806,             0.00026806,             0.00026806
                     11,                 1.0627,                 1.4694,                0.84308,                 0.0602,                0.52933,                0.44757,                0.34781,                0.86581,                 3.0817,                 0.8671,             0.00026939,             0.00026939,             0.00026939
                     12,                 1.0669,                 1.0627,                0.84167,                0.06244,                0.55914,                 0.4286,                0.34286,                 0.8371,                 3.0445,                0.86232,             0.00026576,             0.00026576,             0.00026576
                     13,                0.99977,                   1.26,                0.82557,                0.06608,                0.58944,                0.41527,                0.33295,                0.80925,                 2.9466,                0.85301,             0.00025718,             0.00025718,             0.00025718
                     14,                 1.0935,                 1.0281,                0.83406,                0.06557,                0.58138,                0.45831,                0.35686,                0.81798,                 2.9126,                0.85575,             0.00024366,             0.00024366,             0.00024366
                     15,                0.93502,                0.85001,                0.80647,                 0.0674,                0.59653,                0.53493,                0.40012,                0.82386,                 2.8154,                0.85853,             0.00022518,             0.00022518,             0.00022518
                     16,                 1.0241,                 1.1036,                 0.8298,                0.06896,                0.60459,                0.54758,                0.41062,                 0.8268,                  2.759,                0.85721,             0.00020175,             0.00020175,             0.00020175
                     17,                 1.1201,                  1.016,                0.83643,                 0.0697,                0.62072,                0.59201,                0.42988,                0.88527,                 2.6727,                0.86046,             0.00017337,             0.00017337,             0.00017337
                     18,                 1.0251,                 1.0785,                0.84873,                0.07288,                0.65103,                0.61865,                0.47094,                0.87968,                 2.5799,                0.85703,             0.00014004,             0.00014004,             0.00014004
                     19,                 1.0368,                0.84887,                0.82445,                0.07957,                0.71921,                0.65436,                0.50624,                0.87151,                 2.4768,                0.85406,             0.00010175,             0.00010175,             0.00010175
                     20,                0.94768,                0.97389,                0.82612,                0.08395,                0.75709,                0.69492,                0.53781,                0.86557,                 2.3685,                0.85199,              5.852e-05,              5.852e-05,              5.852e-05
